case_id,domain,complaint_text,duration,expected_priority,acceptable_priorities,accepted_specialties,expected_orientation,clinical_rationale
B06-023,Endocrinologie,"symptômes endocriniens persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Endocrinologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-024,Endocrinologie,"symptômes endocriniens léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Endocrinologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-025,Diabétologie,"Diabétique avec vomissements, respiration profonde et rapide, grande faiblesse.",Moins de 24 heures,P1,P1,Diabétologie|Médecine d’urgence,Urgences / évaluation immédiate,Décompensation métabolique sévère possible.
B06-026,Diabétologie,"Soif intense, urines fréquentes et glycémies très élevées, sans vomissement ni respiration anormale.",1 à 3 jours,P2,P2,Diabétologie,Consultation médicale prioritaire,Hyperglycémie symptomatique sans signe de décompensation sévère.
B06-027,Diabétologie,"Diabète connu, consultation de contrôle pour glycémies stables et aucun nouveau symptôme.",Plus d'une semaine,P3,P3,Diabétologie,Consultation non urgente / programmée,Suivi programmé d'une maladie chronique stable.
B06-028,Rhumatologie,douleurs articulaires récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Rhumatologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-029,Rhumatologie,"douleurs articulaires persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Rhumatologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-030,Rhumatologie,"douleurs articulaires léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Rhumatologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-031,Dermatologie,éruption cutanée récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Dermatologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-032,Dermatologie,"éruption cutanée persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Dermatologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-033,Dermatologie,"éruption cutanée léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Dermatologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-034,Ophtalmologie,Perte brutale de vision d'un œil depuis une heure.,Moins de 24 heures,P1,P1,Ophtalmologie|Médecine d’urgence,Urgences / évaluation immédiate,Perte visuelle aiguë monoculaire.
B06-035,Ophtalmologie,Œil rouge douloureux avec photophobie et vision un peu floue depuis ce matin.,1 à 3 jours,P2,P2,Ophtalmologie,Consultation médicale prioritaire,Œil rouge douloureux avec baisse visuelle.
B06-036,Ophtalmologie,"Yeux secs après plusieurs heures devant écran, vision normale et amélioration au repos.",1 à 3 jours,P4,P4,Ophtalmologie,Conseils / autosurveillance,Fatigue visuelle bénigne et réversible.
B06-037,ORL,"Enfant qui bave, ne peut plus avaler et fait un bruit aigu en inspirant.",Moins de 24 heures,P1,P1,ORL|Médecine d’urgence,Urgences / évaluation immédiate,Menace des voies aériennes supérieures.
B06-038,ORL,"Forte douleur de gorge, fièvre et voix étouffée mais respiration normale et déglutition possible.",1 à 3 jours,P2,P2,ORL,Consultation médicale prioritaire,Tableau ORL significatif sans obstruction respiratoire.
B06-039,ORL,"Oreille légèrement bouchée après piscine, sans douleur, fièvre ni écoulement.",1 à 3 jours,P4,P4,ORL,Conseils / autosurveillance,Symptôme bénin isolé après baignade.
B06-040,Dentisterie,Douleur dentaire avec gonflement du plancher de la bouche et difficulté à avaler.,Moins de 24 heures,P1,P1,Dentisterie|Médecine d’urgence,Urgences / évaluation immédiate,Infection odontogène avec risque d'extension profonde.
B06-041,Dentisterie,"Douleur dentaire forte avec joue légèrement gonflée, sans fièvre ni gêne respiratoire.",1 à 3 jours,P2,P2,Dentisterie,Consultation médicale prioritaire,Infection/abcès dentaire probable sans menace des voies aériennes.
B06-042,Dentisterie,"Sensibilité d'une dent au froid, uniquement quelques secondes, sans douleur spontanée.",Plus d'une semaine,P3,P3|P4,Dentisterie,Consultation non urgente / programmée,Symptôme dentaire non urgent.
B06-043,Gynécologie,symptômes pelviens récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Gynécologie-obstétrique,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-044,Gynécologie,"symptômes pelviens persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Gynécologie-obstétrique,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-045,Gynécologie,"symptômes pelviens léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Gynécologie-obstétrique,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-046,Obstétrique,"Enceinte de 34 semaines, gros mal de tête, points lumineux devant les yeux et douleur sous les côtes.",Moins de 24 heures,P1,P1,Gynécologie-obstétrique|Médecine d’urgence,Urgences / évaluation immédiate,Signes d'alerte obstétricaux pendant grossesse.
B06-047,Obstétrique,"Enceinte de 10 semaines, petit saignement vaginal avec crampes légères, sans malaise.",1 à 3 jours,P2,P2,Gynécologie-obstétrique,Consultation médicale prioritaire,Saignement précoce de grossesse nécessitant évaluation rapide.
B06-048,Obstétrique,"Enceinte de 22 semaines, brûlures d'estomac occasionnelles après les repas, sans douleur abdominale ni saignement.",1 à 3 jours,P4,P3|P4,Gynécologie-obstétrique,Conseils / autosurveillance,"Symptôme bénin fréquent, sans signe d'alerte."
B06-049,Pédiatrie,Enfant de 3 ans très difficile à réveiller depuis la fièvre de ce matin.,Moins de 24 heures,P1,P1,Pédiatrie|Médecine d’urgence,Urgences / évaluation immédiate,Altération importante de la conscience chez l'enfant.
B06-050,Pédiatrie,"Enfant de 4 ans avec fièvre, mange moins mais boit et joue encore.",1 à 3 jours,P2,P2|P3,Pédiatrie,Consultation médicale prioritaire,Enfant fébrile sans danger sign général.
B06-051,Pédiatrie,"Enfant de 7 ans avec rhume léger, actif, mange et boit normalement.",1 à 3 jours,P4,P4,Pédiatrie,Conseils / autosurveillance,Affection mineure sans signe de gravité.
B06-052,Néonatologie,Nouveau-né de 9 jours qui ne tète presque plus et respire avec de longues pauses.,Moins de 24 heures,P1,P1,Pédiatrie|Médecine d’urgence,Urgences / évaluation immédiate,Danger signs du nouveau-né : mauvaise alimentation et respiration anormale.
B06-053,Néonatologie,"Nouveau-né de 18 jours qui tète moins depuis aujourd'hui mais reste réveillable, température normale.",1 à 3 jours,P2,P2,Pédiatrie,Consultation médicale prioritaire,Modification de l'alimentation chez un nouveau-né nécessitant évaluation rapide.
B06-054,Néonatologie,"Nouveau-né de 3 semaines avec petits hoquets après les tétées, tète normalement et reste bien éveillé.",1 à 3 jours,P4,P4,Pédiatrie,Conseils / autosurveillance,"Symptôme bénin isolé, alimentation et comportement normaux."
B06-055,Gériatrie,déclin fonctionnel récent récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Médecin généraliste|Médecine interne,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-056,Gériatrie,"déclin fonctionnel récent persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Médecin généraliste|Médecine interne,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-057,Gériatrie,"déclin fonctionnel récent léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Médecin généraliste|Médecine interne,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-058,Psychiatrie,J'ai décidé de me suicider ce soir et j'ai déjà préparé les comprimés.,Moins de 24 heures,P1,P1,Psychiatrie|Médecine d’urgence,Urgences / évaluation immédiate,Risque suicidaire imminent avec plan et moyens.
B06-059,Psychiatrie,"Depuis une semaine je dors très peu, suis très agité et dépense beaucoup, sans idée de suicide ni violence.",1 à 3 jours,P2,P2,Psychiatrie,Consultation médicale prioritaire,Épisode psychiatrique aigu nécessitant évaluation rapide.
B06-060,Psychiatrie,"Anxiété quotidienne depuis un mois, sommeil perturbé, mais aucune idée suicidaire.",Plus d'une semaine,P3,P3,Psychiatrie,Consultation non urgente / programmée,Trouble anxieux persistant sans danger immédiat.
B06-061,Addictologie,symptômes de sevrage récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Psychiatrie|Addictologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-062,Addictologie,"symptômes de sevrage persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Psychiatrie|Addictologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-063,Addictologie,"symptômes de sevrage léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Psychiatrie|Addictologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-064,Hématologie,fatigue et pâleur récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Hématologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-065,Hématologie,"fatigue et pâleur persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Hématologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-066,Hématologie,"fatigue et pâleur léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Hématologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-067,Oncologie,amaigrissement ou masse récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Oncologie|Médecine interne,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-068,Oncologie,"amaigrissement ou masse persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Oncologie|Médecine interne,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-069,Oncologie,"amaigrissement ou masse léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Oncologie|Médecine interne,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-070,Infectiologie,"fièvre avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Infectiologie|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-071,Infectiologie,"fièvre depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Infectiologie,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-072,Infectiologie,"fièvre léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Infectiologie,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-073,Médecine tropicale,"fièvre après exposition tropicale avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Médecine tropicale|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-074,Médecine tropicale,"fièvre après exposition tropicale depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Médecine tropicale,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-075,Médecine tropicale,"fièvre après exposition tropicale léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Médecine tropicale,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-076,Parasitologie,"symptômes digestifs parasitaires avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Médecine tropicale|Infectiologie|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-077,Parasitologie,"symptômes digestifs parasitaires depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Médecine tropicale|Infectiologie,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-078,Parasitologie,"symptômes digestifs parasitaires léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Médecine tropicale|Infectiologie,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-079,Toxicologie,Enfant de 4 ans ayant avalé du pesticide il y a 20 minutes.,Moins de 24 heures,P1,P1,Toxicologie|Médecine d’urgence,Urgences / évaluation immédiate,Ingestion toxique aiguë chez un enfant.
B06-080,Toxicologie,"Adulte exposé à un produit chimique avec nausées et irritation oculaire, respiration normale.",1 à 3 jours,P2,P2,Toxicologie,Consultation médicale prioritaire,Exposition toxique symptomatique sans détresse.
B06-081,Toxicologie,"Irritation légère des mains après contact bref avec un détergent, déjà rincées et en amélioration.",1 à 3 jours,P4,P4,Toxicologie,Conseils / autosurveillance,Exposition cutanée mineure en amélioration.
B06-082,Allergologie,"Après avoir mangé, langue gonflée, voix modifiée et difficulté à respirer.",Moins de 24 heures,P1,P1,Allergologie|Médecine d’urgence,Urgences / évaluation immédiate,Anaphylaxie possible avec atteinte des voies aériennes.
B06-083,Allergologie,"Plaques d'urticaire diffuses après un aliment, sans gonflement du visage ni gêne respiratoire.",1 à 3 jours,P2,P2|P3,Allergologie,Consultation médicale prioritaire,Réaction allergique cutanée sans anaphylaxie.
B06-084,Allergologie,"Éternuements et nez qui coule seulement avec poussière, sans gêne respiratoire.",Plus d'une semaine,P3,P3|P4,Allergologie,Consultation non urgente / programmée,Rhinite allergique stable.
B06-085,Immunologie,infections répétées récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Immunologie|Médecine interne,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-086,Immunologie,"infections répétées persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Immunologie|Médecine interne,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-087,Immunologie,"infections répétées léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Immunologie|Médecine interne,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-088,Médecine d’urgence,malaise aigu d'apparition aiguë avec altération importante de l'état général.,Moins de 24 heures,P1,P1,Médecine d’urgence,Urgences / évaluation immédiate,Tableau aigu à potentiel critique.
B06-089,Médecine d’urgence,"malaise aigu récent et significatif, sans signe de détresse immédiate.",1 à 3 jours,P2,P2,Médecine d’urgence,Consultation médicale prioritaire,Tableau aigu nécessitant évaluation prioritaire.
B06-090,Médecine d’urgence,"malaise aigu stable, connu, sans aggravation depuis plusieurs semaines.",Plus d'une semaine,P3,P3,Médecine d’urgence,Consultation non urgente / programmée,Problème stable nécessitant suivi programmé.
B06-091,Traumatologie,traumatisme d'un membre récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Chirurgie orthopédique|Traumatologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-092,Traumatologie,"traumatisme d'un membre persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Chirurgie orthopédique|Traumatologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-093,Traumatologie,"traumatisme d'un membre léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Chirurgie orthopédique|Traumatologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-094,Orthopédie,douleur musculosquelettique récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Chirurgie orthopédique|Orthopédie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-095,Orthopédie,"douleur musculosquelettique persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Chirurgie orthopédique|Orthopédie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-096,Orthopédie,"douleur musculosquelettique léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Chirurgie orthopédique|Orthopédie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-097,Chirurgie générale,douleur chirurgicale récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Chirurgie générale,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-098,Chirurgie générale,"douleur chirurgicale persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Chirurgie générale,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-099,Chirurgie générale,"douleur chirurgicale léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Chirurgie générale,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-100,Chirurgie vasculaire,ischémie ou thrombose d'un membre d'apparition aiguë avec altération importante de l'état général.,Moins de 24 heures,P1,P1,Chirurgie vasculaire|Médecine d’urgence,Urgences / évaluation immédiate,Tableau aigu à potentiel critique.
B06-101,Chirurgie vasculaire,"ischémie ou thrombose d'un membre récent et significatif, sans signe de détresse immédiate.",1 à 3 jours,P2,P2,Chirurgie vasculaire,Consultation médicale prioritaire,Tableau aigu nécessitant évaluation prioritaire.
B06-102,Chirurgie vasculaire,"ischémie ou thrombose d'un membre stable, connu, sans aggravation depuis plusieurs semaines.",Plus d'une semaine,P3,P3,Chirurgie vasculaire,Consultation non urgente / programmée,Problème stable nécessitant suivi programmé.
B06-103,Neurochirurgie,traumatisme crânien d'apparition aiguë avec altération importante de l'état général.,Moins de 24 heures,P1,P1,Neurochirurgie|Médecine d’urgence,Urgences / évaluation immédiate,Tableau aigu à potentiel critique.
B06-104,Neurochirurgie,"traumatisme crânien récent et significatif, sans signe de détresse immédiate.",1 à 3 jours,P2,P2,Neurochirurgie,Consultation médicale prioritaire,Tableau aigu nécessitant évaluation prioritaire.
B06-105,Neurochirurgie,"traumatisme crânien stable, connu, sans aggravation depuis plusieurs semaines.",Plus d'une semaine,P3,P3,Neurochirurgie,Consultation non urgente / programmée,Problème stable nécessitant suivi programmé.
B06-106,Chirurgie thoracique,traumatisme thoracique récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Chirurgie thoracique,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-107,Chirurgie thoracique,"traumatisme thoracique persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Chirurgie thoracique,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-108,Chirurgie thoracique,"traumatisme thoracique léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Chirurgie thoracique,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-109,Chirurgie digestive,douleur abdominale chirurgicale récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Chirurgie digestive,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-110,Chirurgie digestive,"douleur abdominale chirurgicale persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Chirurgie digestive,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-111,Chirurgie digestive,"douleur abdominale chirurgicale léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Chirurgie digestive,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-112,Chirurgie pédiatrique,douleur abdominale chez l'enfant récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Chirurgie pédiatrique|Pédiatrie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-113,Chirurgie pédiatrique,"douleur abdominale chez l'enfant persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Chirurgie pédiatrique|Pédiatrie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-114,Chirurgie pédiatrique,"douleur abdominale chez l'enfant léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Chirurgie pédiatrique|Pédiatrie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-115,Chirurgie maxillo-faciale,traumatisme facial récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Chirurgie maxillo-faciale|Dentisterie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-116,Chirurgie maxillo-faciale,"traumatisme facial persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Chirurgie maxillo-faciale|Dentisterie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-117,Chirurgie maxillo-faciale,"traumatisme facial léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Chirurgie maxillo-faciale|Dentisterie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-118,Médecine interne,symptômes multisystémiques récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Médecine interne,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-119,Médecine interne,"symptômes multisystémiques persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Médecine interne,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-120,Médecine interne,"symptômes multisystémiques léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Médecine interne,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-121,Médecin généraliste,symptômes généraux récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Médecin généraliste,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-122,Médecin généraliste,"symptômes généraux persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Médecin généraliste,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
